kb_id,category,topic,content,source_doc,last_updated,applies_to_products,requires_authority_check
RT-011,returns,used_items_policy,"Items that show signs of light use but remain functional may be accepted at the discretion of a customer support agent, typically with a partial refund reflecting the item's reduced resale value. The proportion of the partial refund is determined case by case by the inspecting agent at the warehouse; typical reductions range from 10% for items with very light use to 40% for items with substantial wear. Items that are clearly damaged, modified, or rendered non-functional by customer use are not accepted for return under any circumstances, and the customer is notified that the item will be returned at their cost or discarded. Returns flagged for partial refund require agent authorisation before processing.","Returns Policy v2.3, §5.4",2025-09-15,,true
RT-012,returns,return_tracking,"Customers receive automated email notifications at three points during the return process: when the return label is generated and emailed, when the carrier confirms the package has been collected, and when the package arrives at the warehouse. A fourth notification is sent when the refund is processed to the original payment method. Customers may also view the live status of a return from their account by opening the relevant order and selecting 'View return status'. The status displayed in the account is updated within 2 hours of the warehouse system being updated. Customers who do not receive expected notifications should check their spam folder and verify their registered email address is current.","Returns Policy v2.3, §6.4",2025-09-15,,false
SH-001,shipping,eu_standard_timing,"Standard shipping within the European Union typically takes 3 to 5 business days from dispatch to delivery. Dispatch normally occurs within 1 business day of order placement for items in stock. Most EU destinations are served by carriers operating to standard service-level agreements; specific timing varies by destination country and by the customer's distance from the nearest carrier hub. Estimated delivery dates shown at checkout and on order confirmation emails are based on the carrier's published transit times and are typically accurate within one business day. Delays during peak shopping periods (late November, December, and the post-holiday returns surge in January) may extend timing by 1 to 2 business days; these delays are communicated to affected customers by email.","Shipping Terms v1.8, §2.1",2025-11-04,,false
SH-002,shipping,express_option,"Express shipping within the European Union guarantees next-business-day delivery for orders placed before 14:00 local time of the dispatch warehouse, Monday through Friday. Orders placed after the 14:00 cutoff or on weekends and public holidays are dispatched on the next business day with delivery the business day following dispatch. Express shipping is available at checkout as a premium upgrade. The express service is operated by the same carriers as standard shipping but with priority handling at each transit point. Express orders to remote destinations (island territories, mountain regions) may take an additional business day; the checkout flow displays an honest estimated delivery date based on the destination.","Shipping Terms v1.8, §2.2",2025-11-04,,false
SH-003,shipping,international_non_eu,"Shipping to destinations outside the European Union typically takes 7 to 14 business days from dispatch to delivery, with the longer end of the range reflecting time spent in customs clearance at the destination country. Specific transit times depend on the destination, the carrier serving that destination, and the speed of customs processing at the time of arrival. Customs and import duties may be charged by the destination country and are typically billed to the recipient directly by the local carrier or customs authority. Service is available to most non-EU European countries (UK, Switzerland, Norway) and to the United States; service to other destinations is available on request and may require additional processing time before dispatch.","Shipping Terms v1.8, §3.1",2025-11-04,,false
SH-004,shipping,cost_by_region,"Shipping costs are calculated automatically at checkout based on destination and service level. Standard shipping within the European Union is €4.99 per order, regardless of order size. Express shipping within the European Union is €9.99 per order. International standard shipping outside the EU is €19.99 per order. Free standard shipping is automatically applied to EU orders with a subtotal of €50 or more before tax. Express upgrades remain chargeable on free-shipping orders. Shipping costs displayed at checkout are final and include all carrier handling fees; the company does not apply additional handling charges. Customs duties, where applicable, are billed separately by the destination country's customs authority.","Shipping Terms v1.8, §4.1",2025-11-04,,false
SH-005,shipping,free_shipping_threshold,"Standard shipping is provided free of charge on all orders with a pre-tax subtotal of €50.00 or more shipped to destinations within the European Union. The free shipping threshold is applied automatically at checkout and is visible in the order summary before payment. Orders below the threshold pay the standard €4.99 shipping fee. The free-shipping threshold does not apply to express upgrades, to international shipments outside the EU, or to orders requiring special handling such as oversized monitors or fragile items, which carry separate shipping fees displayed at checkout. Promotional codes that further reduce the order subtotal may bring it below the free-shipping threshold; in such cases the shipping fee is reinstated.","Shipping Terms v1.8, §4.2",2025-11-04,,false
SH-006,shipping,carriers,"Shipments are dispatched through different carriers depending on the destination. Orders to EU mainland destinations are typically shipped by DHL Express or DPD. Orders to the United Kingdom are shipped by Royal Mail or DPD UK. Orders to the United States are shipped by USPS Priority. Orders within Portugal are shipped by CTT Correios. Carrier selection is automatic and based on destination, weight, and service level requested; the customer cannot choose a specific carrier at checkout. Tracking information from the chosen carrier is shared with the customer when the order is dispatched. Customers with carrier-specific delivery preferences (for example, a request to use a specific local pickup point) may contact support after placing the order to request a routing change where the carrier supports it.","Shipping Terms v1.8, §5.1",2025-11-04,,false
SH-007,shipping,tracking_access,"Every dispatched order receives a tracking number from the relevant carrier. The tracking number is included in the dispatch confirmation email and is also visible from the customer's account by opening the order detail view. Clicking the tracking number from either location opens the carrier's tracking page in a new tab, where the customer can see the current status, the package's transit history, and the estimated delivery date. The status displayed on the carrier's tracking page is authoritative; the status shown in the customer account is synchronised with the carrier but may lag the carrier's page by up to 2 hours. Customers who report missing tracking information should first check their spam folder for the dispatch confirmation email.","Shipping Terms v1.8, §5.3",2025-11-04,,false
SH-008,shipping,delivery_attempts,"Carriers typically make two delivery attempts on consecutive business days before returning a package to the local depot for collection. If the customer is not available to receive the package on the second attempt, the package is held at the depot for collection for a period of 7 calendar days. After the 7-day collection period elapses, uncollected packages are returned to the warehouse, and the order is treated as undeliverable. Undeliverable orders may be refunded to the customer minus a return shipping fee and any non-recoverable carrier charges. Customers who expect to be unavailable during the delivery window are advised to update their shipping address before dispatch or to nominate a local pickup point where the carrier supports it.","Shipping Terms v1.8, §6.2",2025-11-04,,false
SH-009,shipping,uk_post_brexit,"Shipments to the United Kingdom are subject to UK customs procedures following the United Kingdom's departure from the European Union. Standard shipping to the UK typically takes 5 to 8 business days. For orders with a total value of £135 or less, UK VAT and customs duties are collected at checkout and remitted to HMRC by the company on the customer's behalf; the customer receives the package without further customs charges. For orders above £135, customs duties are billed to the recipient directly by the carrier upon delivery and are not paid by the company. Customers placing orders to the UK should expect minor delays compared to pre-Brexit timing and may be required to provide an EORI number for high-value shipments.","Shipping Terms v1.8, §3.2",2025-11-04,,false
SH-010,shipping,us_shipping,"Shipments to the United States are dispatched via USPS Priority and typically take 7 to 12 business days to deliver, including time spent in US Customs and Border Protection processing. US shipping costs €19.99 per order, with no free-shipping threshold available for international destinations. Orders to the United States with a declared value above USD 800 are subject to US import duties; these duties are billed to the customer directly by USPS or by Customs and Border Protection at the time of delivery and are not collected at checkout. Customers ordering high-value items to the US are advised to budget for potential duties of approximately 5% of the declared value, though the exact rate depends on the product category and the prevailing US tariff schedule.","Shipping Terms v1.8, §3.3",2025-11-04,,false
PR-001,products,laptop_stand_specs,"The aluminium laptop stand model LS-01 supports laptops with screen sizes from 11 to 17 inches and accommodates laptop weights up to 5 kilograms. The stand offers six adjustable height positions ranging from 5 to 22 centimetres above the desk surface, with a non-slip silicone pad at each contact point to prevent the laptop from sliding during use. The stand folds flat to a thickness of 1.5 centimetres for portability and weighs 680 grams. Ventilation cutouts on the underside of the support surface allow heat dissipation from the laptop's intake vents. The stand is compatible with all standard laptop form factors including 2-in-1 convertibles in laptop mode and supports use with external monitors, keyboards, and mice in ergonomic desk setups.",Product Specification Sheet — Laptop Stand LS-01,2024-11-22,laptop_stand,false
PR-002,products,wireless_mouse_specs,"The wireless mouse model WM-12 operates on the 2.4 GHz frequency band via a compact USB-A receiver that plugs into the host computer; the receiver stores in a magnetic compartment on the underside of the mouse when not in use. The mouse is compatible with Windows 10 and later, macOS 11 and later, and most Linux distributions; no driver installation is required for basic functionality. Sensor resolution is adjustable between 800, 1200, and 1600 dots per inch via a dedicated button on the underside of the mouse. The mouse is powered by two AAA batteries included in the box; battery life is rated at approximately 18 months of typical use, with a low-battery indicator illuminating on the upper surface when replacement is recommended.",Product Specification Sheet — Wireless Mouse WM-12,2024-08-14,wireless_mouse,false
PR-003,products,usbc_cable_specs,"USB-C to USB-C cables are available in 1-metre and 2-metre lengths and support USB Power Delivery up to 100 watts and data transfer up to 10 gigabits per second (USB 3.2 Gen 2). Both ends carry the reversible USB Type-C connector and are compatible with any device implementing the USB-C standard, including laptops, tablets, smartphones, and external displays. The cables are braided in nylon for durability and are rated for over 10,000 bend cycles at the connector necks. The 1-metre version weighs 35 grams and the 2-metre version weighs 60 grams. Cable specifications are independent of any specific device's charging speed; actual charging speed is limited by the lower of the cable's rating, the charger's rating, and the device's input acceptance.",Product Specification Sheet — USB-C Cable UC-100,2024-05-30,usbc_cable,false
PR-004,products,bluetooth_speaker_specs,"The portable Bluetooth speaker model BS-22 implements Bluetooth 5.2 with a wireless range of up to 10 metres in clear line-of-sight conditions. The speaker uses a passive radiator design with a downward-firing 50-millimetre driver for omnidirectional 360-degree sound coverage. Maximum sound pressure level is 85 dB at 1 metre. The internal battery provides up to 12 hours of continuous playback at moderate volume and recharges via USB-C in approximately 3 hours. The speaker carries an IPX5 ingress protection rating, meaning it is resistant to splashes and light rain but is not designed for submersion. Pairing is initiated by holding the Bluetooth button on the top surface for 3 seconds; the speaker remembers up to 8 previously paired devices.",Product Specification Sheet — Bluetooth Speaker BS-22,2024-09-08,bluetooth_speaker,false
PR-005,products,tablet_specs,"The 10.1-inch tablet model TB-101 ships with Android 14 and includes 64 GB of internal storage and 4 GB of RAM. The display is a 1920×1200 IPS LCD panel with a 60 Hz refresh rate and 350 nits typical brightness. Connectivity includes Wi-Fi 6, Bluetooth 5.1, and a single USB-C port for charging and data; the tablet does not include a cellular modem and is Wi-Fi only. The included 5,000 mAh battery provides approximately 9 hours of mixed use. An optional magnetic keyboard cover is sold separately and connects via Bluetooth; the tablet does not include a smart-connector for direct keyboard attachment. The tablet is supplied with a 15-watt USB-C charger and a 1-metre USB-C charging cable.",Product Specification Sheet — Tablet TB-101,2024-10-19,tablet,false
PR-006,products,headphones_specs,"The over-ear headphone model HP-07 features active noise cancellation with three selectable levels (off, ambient, full) and 40-millimetre dynamic drivers tuned for balanced reproduction across the audible frequency range. Connectivity is dual: Bluetooth 5.3 with multipoint support for two simultaneous devices, and a wired 3.5-millimetre analogue input via a detachable cable included in the box. Battery life is rated at approximately 30 hours of mixed-use playback with noise cancellation engaged and 38 hours with it disabled. A USB-C port on the right earcup is used for charging; a 15-minute fast charge provides approximately 3 hours of playback. The earcups fold flat for storage in the included travel case.",Product Specification Sheet — Headphones HP-07,2024-12-03,headphones,false
PR-007,products,webcam_specs,"The webcam model WC-08 records at 1920×1080 resolution (1080p) at 30 frames per second through a fixed-focus CMOS sensor; an autofocus variant is available separately. The webcam includes dual omnidirectional microphones with hardware noise suppression suitable for conference-call use without an external headset. Connection is via USB-A 2.0 with plug-and-play recognition under Windows, macOS, Linux, and Chrome OS; no driver installation is required. The webcam attaches to a laptop screen via a hinged clip with a non-slip rubber tip, and can be detached and mounted on a standard 1/4-inch tripod thread on the underside of the housing. A manual privacy shutter slides across the lens when the webcam is not in use.",Product Specification Sheet — Webcam WC-08,2024-07-25,webcam,false
PR-008,products,external_monitor_specs,"The 27-inch external monitor model XM-27 is a 4K UHD (3840×2160) IPS LCD panel with a 60 Hz refresh rate, 5-millisecond grey-to-grey response time, and 99% sRGB colour gamut coverage. Inputs include one HDMI 2.0 port, one DisplayPort 1.4 port, and one USB-C port supporting DisplayPort Alt Mode and up to 65 watts of upstream power delivery for connected laptops. The stand offers tilt, swivel, and 130 millimetres of height adjustment, and a VESA 100×100 mounting interface is available after removing the included stand. Two integrated stereo speakers provide adequate sound for video conferencing but are not intended as a primary music listening solution. Power consumption is approximately 38 watts in typical use.",Product Specification Sheet — Monitor XM-27,2024-04-11,external_monitor,false
PR-009,products,keyboard_specs,"The mechanical keyboard model KB-15 uses hot-swappable mechanical switches and ships with linear red-style switches by default; tactile brown and clicky blue variants are available as separate purchases. The keyboard is available in ANSI (US) and ISO (UK/EU) layouts and supports both wired connection via USB-C and wireless connection via Bluetooth 5.1 with multipoint support for up to three paired devices. Per-key RGB backlighting is configurable via the desktop configuration utility (Windows and macOS). The internal battery provides approximately 40 hours of use with backlighting at default brightness, or up to 200 hours with backlighting disabled. A toggle on the underside switches between ANSI and ISO key mappings independently of the physical layout.",Product Specification Sheet — Keyboard KB-15,2024-06-29,keyboard,false
PR-010,products,power_adapter_compatibility,"The 65-watt USB-C power adapter model PA-65 provides charging via a single USB-C PD output and is compatible with most modern laptops and tablets requiring up to 65 watts of input. The adapter implements the USB Power Delivery 3.0 standard with support for the standard PD voltage profiles (5V, 9V, 15V, 20V) and negotiates the highest mutually supported profile with the connected device. The adapter is rated for international use with an input range of 100 to 240 volts AC, 50/60 Hz, and is supplied with a swappable plug head for the local market. A short USB-C to USB-C cable rated for 100 watts is included in the box. The adapter is not suitable for devices requiring proprietary charging connectors.",Product Specification Sheet — Power Adapter PA-65,2024-02-17,power_adapter,false
PR-011,products,laptop_bag_dimensions,"The laptop bag model LB-156 accommodates laptops with screen sizes up to 15.6 inches and a maximum laptop thickness of 2.5 centimetres. Internal dimensions of the padded laptop compartment are 38 by 27 by 3 centimetres. The bag is constructed from a weather-resistant polyester exterior with a brushed-fabric interior in the laptop compartment to prevent scratches. A secondary compartment provides space for a tablet up to 11 inches, a separate organiser section holds cables and small accessories, and an exterior zipped pocket fits items the user needs quick access to. Total bag weight is 750 grams empty, and the bag carries up to 7 kilograms of contents. A discreet luggage strap on the rear allows the bag to slide over the handle of a wheeled carry-on case.",Product Specification Sheet — Laptop Bag LB-156,2024-03-22,laptop_bag,false
PR-012,products,phone_case_compatibility,"Silicone phone cases are available for the current and previous generation of the major smartphone families. Compatible models in the iPhone family include iPhone 15, 15 Plus, 15 Pro, 15 Pro Max, 16, 16 Plus, 16 Pro, and 16 Pro Max. Compatible models in the Samsung Galaxy S family include Galaxy S23, S23+, S23 Ultra, S24, S24+, and S24 Ultra. Cases are available in five colour finishes: black, navy, sand, sage, and burgundy. Each case is moulded specifically for its target model and includes precise cutouts for cameras, ports, and side controls; cases purchased for the wrong model cannot be used interchangeably. The silicone exterior has a soft-touch finish and provides shock absorption against typical drops onto hard surfaces.",Product Specification Sheet — Phone Case PC-Series,2025-01-15,phone_case,false
PR-013,products,charging_dock_specs,"The multi-device charging dock model CD-3 provides three simultaneous charging outputs: two USB-C ports rated at up to 30 watts each, and one Qi wireless charging pad rated at up to 15 watts for compatible smartphones and earbud cases. Total maximum power output across all three outputs is 65 watts, and the dock intelligently allocates power between the active outputs to stay within this envelope. The dock is supplied with a separate 65-watt power adapter and a 1.5-metre power cable. The aluminium chassis is engineered to dissipate heat under sustained charging, with a small internal fan that activates above 35 degrees Celsius. The wireless charging pad supports the Qi standard and is compatible with iPhone 12 and later, Samsung Galaxy S20 and later, and any other Qi-compliant device.",Product Specification Sheet — Charging Dock CD-3,2025-02-09,charging_dock,false
PR-014,products,hdmi_cable_specs,"HDMI cables conforming to the HDMI 2.1 specification are available in 1-metre, 2-metre, and 3-metre lengths. The cables support video resolutions up to 8K at 60 frames per second and 4K at 120 frames per second, dynamic HDR, eARC for high-fidelity audio return, and variable refresh rate for gaming applications. The cables are backward compatible with HDMI 2.0 and HDMI 1.4 devices and will operate at the highest mutually supported specification of the connected devices. The outer jacket is braided in nylon for durability and is rated for over 10,000 bend cycles. Both connectors are gold-plated to resist oxidation. The 1-metre cable weighs 90 grams; the 3-metre cable weighs 240 grams.",Product Specification Sheet — HDMI Cable HD-21,2024-05-08,hdmi_cable,false
PR-015,products,warranty_general,"All electronic products carry a 12-month manufacturer warranty from the date of delivery to the original purchaser. The warranty covers defects in materials and workmanship under normal use conditions and provides for repair, replacement, or refund at the company's discretion. The warranty does not cover damage caused by accident, misuse, unauthorised modification, or normal cosmetic wear. Consumable components such as included batteries are covered for 6 months. To initiate a warranty claim, the customer contacts support with the order number and a description of the issue; the company arranges return shipping at its expense for items confirmed to be within warranty. The warranty is non-transferable and does not extend the change-of-mind return windows described in the returns policy.","Warranty Terms v1.2, §1",2025-03-20,,false
AC-001,accounts,password_reset,"Customers who have forgotten their account password can reset it using the 'Forgot password' link visible on the sign-in page. Selecting this link prompts the customer for their registered email address; an email containing a reset link is then sent to that address. The reset email arrives within 5 minutes for typical email providers; customers should check their spam or junk folders if the email is not visible in the inbox. The reset link is valid for 60 minutes from the moment of sending and can be used only once. After the link is clicked, the customer selects a new password subject to the strength requirements displayed during the reset (minimum 8 characters, including at least one digit and one non-alphanumeric character).","Account Operations Manual v3.1, §2.1",2025-04-12,,false
AC-002,accounts,email_change,"Customers wishing to change the email address associated with their account must complete a confirmation process from both the old and the new email addresses to prevent unauthorised account takeover. The customer initiates the change from the account settings page, enters the new email address, and receives confirmation emails at both the old and new addresses. Both confirmation links must be clicked within 24 hours for the change to take effect. Customers who no longer have access to their old email address cannot self-service the change and must contact a customer support agent, who will verify ownership of the account through alternative means before authorising the change. Email-change requests involving loss of access to the old address are escalated for human handling.","Account Operations Manual v3.1, §2.3",2025-04-12,,true
AC-003,accounts,profile_update,"Customers can update most profile details directly from the account settings page, including their display name, billing name and address, default shipping address, contact phone number, communications preferences, and preferred display language. Changes to non-sensitive profile details take effect immediately and do not require confirmation. Changes to default shipping address apply to future orders only and do not affect orders already placed; customers wishing to change the shipping address of an in-progress order must do so through the order's modify-order flow and only while the order remains in placed or processing status. The account settings page also displays the customer's tier status and total lifetime value for transparency.","Account Operations Manual v3.1, §3.1",2025-04-12,,false
AC-004,accounts,account_deletion,"Customers may request deletion of their account at any time in accordance with the right to erasure provisions of the General Data Protection Regulation. Account-deletion requests must be confirmed in writing by reply to a confirmation email sent to the registered address; this confirmation step exists to protect against accidental or unauthorised deletion requests. Confirmed deletion requests are processed within 30 days, during which the account is suspended and no further orders can be placed. After processing, all personally identifying information is removed from the company's systems; order records are retained in anonymised form where required for accounting purposes by tax authorities. The deletion process is irreversible; deleted accounts cannot be restored, and a customer who later wishes to purchase again must register a new account.","Account Operations Manual v3.1, §4.2",2025-04-12,,true
AC-005,accounts,suspension_policy,"Customer accounts may be suspended under three circumstances: unpaid balances older than 30 days, suspected fraudulent activity flagged by the company's payment processor or by manual review, and material violation of the published terms of service. Suspended accounts cannot place new orders or initiate returns or refunds. Existing in-progress orders are typically held pending the outcome of the suspension review. Customers whose accounts are suspended are notified by email with the reason for suspension and instructions on how to seek reactivation. Reactivation requires human review and may require the customer to settle outstanding balances, provide additional identity verification, or acknowledge the violated terms before the account is reinstated.","Account Operations Manual v3.1, §5.1",2025-04-12,,true
AC-006,accounts,two_factor_setup,"Two-factor authentication can be enabled from the security section of the account settings page. The implementation uses time-based one-time passwords (TOTP) compatible with widely available authenticator applications including Google Authenticator, Microsoft Authenticator, Authy, and 1Password. To enable two-factor authentication, the customer scans a QR code displayed in the settings page with their chosen authenticator app and enters the resulting six-digit code to confirm the pairing. The company recommends saving the displayed backup codes in a safe place; these codes can be used to sign in if the authenticator device is lost. Two-factor authentication can be disabled from the same page; disabling requires the current TOTP code or a backup code as confirmation.","Account Operations Manual v3.1, §6.1",2025-04-12,,false
AC-007,accounts,login_troubleshooting,"Customers experiencing difficulties signing in to their account should attempt the following steps in sequence before contacting support. First, verify that the email address being used is the one associated with the account; a small number of customers have inadvertently registered with a similar but different address. Second, clear the browser cache and cookies for the site domain and attempt sign-in again. Third, attempt a password reset using the 'Forgot password' link; if the reset email arrives, the account exists and the credential is the issue. Fourth, if two-factor authentication is enabled, verify the device clock on the device running the authenticator app is correctly set, as TOTP codes are time-sensitive. Customers still unable to sign in after these steps should contact support, who will verify identity through alternative means.","Account Operations Manual v3.1, §7.1",2025-04-12,,false
AC-008,accounts,account_merging,"Customers with multiple accounts registered to different email addresses cannot merge those accounts; the company's systems do not support account merging due to the complexity of reconciling order history, payment methods, loyalty points, and tier status across accounts. Customers in this situation are advised to choose one account to retain as their primary account going forward, place future orders exclusively through that account, and allow the secondary account to fall into disuse. Loyalty points and tier credits accumulated in a secondary account cannot be transferred. Customers may request deletion of secondary accounts through the standard account-deletion process if they wish to remove personal data from those accounts.","Account Operations Manual v3.1, §8.1",2025-04-12,,false
BL-001,billing,refund_eligibility,"Refunds are issued in respect of returned items that meet the conditions set out in the returns policy: items must be unused, in resalable condition, accompanied by their original packaging and accessories, and returned within the applicable return window for the customer's tier. Refunds are also issued for orders that are cancelled before dispatch and for confirmed faulty items returned under warranty. Refunds are not issued for items that fall in the excluded categories of the returns policy, for items returned after the applicable window has elapsed without an authorised extension, or for items returned in a condition that materially differs from the condition at dispatch. All refunds are subject to the refund authority limits described separately in this policy.","Billing Policy v2.1, §3.1",2025-08-30,,false
BL-002,billing,refund_processing_timeline,"Refund processing is split into two phases. The internal processing phase, in which the refund is approved and submitted to the payment provider, takes 1 to 2 business days from the time the eligibility conditions are met. The provider processing phase, during which the customer's payment provider credits the refunded amount back to the original payment method, takes 3 to 7 business days for card payments and 1 to 3 business days for PayPal and digital wallets. The customer's total wait time from refund initiation to seeing the funds in their account is therefore typically 4 to 9 business days. Customers can verify the progress of a refund by viewing the relevant order in their account; the status transitions to 'Refunded' once the internal phase completes.","Billing Policy v2.1, §3.2",2025-08-30,,false
BL-003,billing,refund_method,"Refunds are always issued to the original payment method used for the order. If the order was paid by credit or debit card, the refund is credited to the same card. If the order was paid by PayPal or a digital wallet, the refund is credited to the same PayPal account or wallet. Refunds cannot be issued in cash, by bank transfer to an account different from the original payment source, or by store credit unless a store-credit option has been specifically authorised by the customer at the time of return initiation. This policy reflects standard anti-fraud practice in card-not-present transactions. Customers whose original payment method has been cancelled or closed by their bank since the order was placed should contact support, who will work with the payment provider to find an alternative refund route.","Billing Policy v2.1, §3.3",2025-08-30,,false
BL-004,billing,partial_refunds_damaged,"Partial refunds may be offered as a goodwill gesture for items that arrive with cosmetic damage but remain fully functional, where the customer prefers to keep the item rather than return it for a full refund and replacement. The amount of the partial refund is determined at the agent's discretion within the authority limits set out in this policy and is typically expressed as a percentage of the item's purchase price; typical figures range from 10% to 25% depending on the severity of the cosmetic damage. Partial refunds are processed to the original payment method on the same timeline as full refunds. Partial refund offers are made by the agent at the time of the support contact and are not initiated automatically by the system; customers should describe the damage clearly to enable the agent to assess an appropriate figure.","Billing Policy v2.1, §3.5",2025-08-30,,true
BL-005,billing,refund_authority_limits,"Refunds at or below €100.00 may be processed by the responding customer support agent autonomously, subject to confirming the eligibility conditions set out in the refund eligibility section. Refunds above €100.00 require authorisation by a senior agent or supervisor and cannot be processed by the responding agent alone; such requests are escalated to the appropriate authorisation queue and typically resolved within 1 business day. The €100.00 threshold applies to the total refund amount per request, not per item; a single request seeking refund of multiple items totalling above €100 falls within the higher-authorisation band even if each individual item is below it. Customers requesting high-value refunds are informed at the time of contact that the request has been escalated and given an expected resolution timeframe.","Billing Policy v2.1, §3.6",2025-08-30,,true
