kb_id,category,topic,description,applies_to_products,requires_authority_check
BL-009,billing,failed_payment,Failed payments are retried automatically once; if retry fails the order is cancelled and the customer notified.,,false
BL-010,billing,invoice_request,Invoices are generated automatically on dispatch and downloadable from the customer account; VAT-registered customers can request a corrected invoice.,,false
GN-001,general,opening_hours,"Customer support is available Monday to Friday, 09:00-18:00 CET, and Saturday 10:00-14:00 CET.",,false
GN-002,general,contact_methods,"Contact methods: chat (this channel), email at support@example.com, phone at +351 800 123 456.",,false
GN-003,general,cancellation_window,Orders may be cancelled within 24 hours of placement if not yet shipped; later cancellations require human agent review.,,true
GN-004,general,company_details,"Company is registered in Lisbon, Portugal; registered office address listed in account terms.",,false
GN-005,general,data_handling,Customer data is handled in accordance with GDPR; privacy policy is available at example.com/privacy.,,false
GN-006,general,tier_definitions,"Customer tiers: Standard (default), Premium (spend over 1000 EUR per year), VIP (spend over 5000 EUR per year).",,false
GN-007,general,loyalty_program,Loyalty programme: 1 point per EUR spent; 100 points = 5 EUR off next order; points expire after 24 months.,,false
GN-008,general,complaint_escalation_path,Complaints escalated to human agents are routed to the tier-appropriate team; VIP complaints reach senior support within 1 hour.,,true
GN-009,general,out_of_stock_policy,Out-of-stock items: customers are notified of expected restock date and may cancel without penalty.,,false
GN-010,general,service_countries,"Service is available in EU member states, the UK, Switzerland, Norway, and the US; other countries on request.",,false
